1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.071,0.30406,0.30406,0.30406,0.30406,0.30406,0.010248,0.27582,0.30406,0.2245,0.14398,0.075088,0.15082,0.30406,0.61627,1.1737
0.072,0.29667,0.29667,0.29667,0.29667,0.29667,0.0091477,0.26572,0.29667,0.22035,0.1417,0.073226,0.14711,0.29667,0.60171,1.1473
0.073,0.28951,0.28951,0.28951,0.28951,0.28951,0.0081657,0.25602,0.28951,0.21631,0.13948,0.071422,0.14351,0.28951,0.58759,1.1218
0.074,0.28257,0.28257,0.28257,0.28257,0.28257,0.007289,0.24672,0.28257,0.21239,0.13733,0.069674,0.14002,0.28257,0.5739,1.0969
0.075,0.27584,0.27584,0.27584,0.27584,0.27584,0.0065065,0.23779,0.27584,0.20857,0.13523,0.067981,0.13664,0.27584,0.5606,1.0727
0.076,0.26931,0.26931,0.26931,0.26931,0.26931,0.005808,0.22921,0.26931,0.20486,0.13318,0.06634,0.13337,0.26931,0.5477,1.0493
0.077,0.26298,0.26298,0.26298,0.26298,0.26298,0.0051843,0.22096,0.26298,0.20124,0.13119,0.064749,0.13019,0.26298,0.53517,1.0264
0.078,0.25684,0.25684,0.25684,0.25684,0.25684,0.0046276,0.21305,0.25684,0.19772,0.12925,0.063205,0.1271,0.25684,0.52301,1.0042
0.079,0.25087,0.25087,0.25087,0.25087,0.25087,0.0041306,0.20544,0.25087,0.19429,0.12736,0.061708,0.12411,0.25087,0.51119,0.98262
0.08,0.24508,0.24508,0.24508,0.24508,0.24508,0.003687,0.19812,0.24508,0.19095,0.12551,0.060255,0.12121,0.24508,0.4997,0.96159
0.081,0.23946,0.23946,0.23946,0.23946,0.23946,0.0032909,0.19109,0.23946,0.1877,0.12372,0.058845,0.11839,0.23946,0.48853,0.94113
0.082,0.23399,0.23399,0.23399,0.23399,0.23399,0.0029373,0.18433,0.23399,0.18453,0.12196,0.057475,0.11565,0.23399,0.47768,0.92121
0.083,0.22868,0.22868,0.22868,0.22868,0.22868,0.0026216,0.17782,0.22868,0.18143,0.12025,0.056145,0.11299,0.22868,0.46712,0.9018
0.084,0.22352,0.22352,0.22352,0.22352,0.22352,0.0023397,0.17157,0.22352,0.17841,0.11858,0.054853,0.11041,0.22352,0.45685,0.88291
0.085,0.2185,0.2185,0.2185,0.2185,0.2185,0.0020882,0.16555,0.2185,0.17547,0.11694,0.053597,0.1079,0.2185,0.44686,0.86449
0.086,0.21362,0.21362,0.21362,0.21362,0.21362,0.0018636,0.15976,0.21362,0.1726,0.11535,0.052377,0.10546,0.21362,0.43713,0.84655
0.087,0.20887,0.20887,0.20887,0.20887,0.20887,0.0016631,0.15418,0.20887,0.16979,0.11379,0.051191,0.10308,0.20887,0.42767,0.82907
0.088,0.20425,0.20425,0.20425,0.20425,0.20425,0.0014841,0.14881,0.20425,0.16705,0.11227,0.050037,0.10078,0.20425,0.41845,0.81202
0.089,0.19976,0.19976,0.19976,0.19976,0.19976,0.0013243,0.14364,0.19976,0.16438,0.11078,0.048915,0.098531,0.19976,0.40948,0.7954
0.09,0.19538,0.19538,0.19538,0.19538,0.19538,0.0011817,0.13867,0.19538,0.16177,0.10932,0.047824,0.096346,0.19538,0.40074,0.77919
0.091,0.19113,0.19113,0.19113,0.19113,0.19113,0.0010544,0.13388,0.19113,0.15921,0.1079,0.046762,0.09422,0.19113,0.39222,0.76338
0.092,0.18698,0.18698,0.18698,0.18698,0.18698,0.00094074,0.12926,0.18698,0.15672,0.10651,0.045729,0.09215,0.18698,0.38393,0.74796
0.093,0.18294,0.18294,0.18294,0.18294,0.18294,0.00083932,0.12481,0.18294,0.15428,0.10515,0.044723,0.090135,0.18294,0.37584,0.73291
0.094,0.17901,0.17901,0.17901,0.17901,0.17901,0.00074879,0.12053,0.17901,0.1519,0.10381,0.043743,0.088173,0.17901,0.36796,0.71822
0.095,0.17518,0.17518,0.17518,0.17518,0.17518,0.00066799,0.1164,0.17518,0.14956,0.10251,0.04279,0.086263,0.17518,0.36028,0.70389
0.096,0.17144,0.17144,0.17144,0.17144,0.17144,0.00059588,0.11242,0.17144,0.14728,0.10123,0.041861,0.084401,0.17144,0.35278,0.68989
0.097,0.1678,0.1678,0.1678,0.1678,0.1678,0.00053153,0.10858,0.1678,0.14505,0.09998,0.040956,0.082588,0.1678,0.34548,0.67623
0.098,0.16425,0.16425,0.16425,0.16425,0.16425,0.0004741,0.10488,0.16425,0.14287,0.098754,0.040074,0.080821,0.16425,0.33835,0.66288
0.099,0.1608,0.1608,0.1608,0.1608,0.1608,0.00042285,0.10132,0.1608,0.14073,0.097553,0.039215,0.079098,0.1608,0.3314,0.64985
0.1,0.15742,0.15742,0.15742,0.15742,0.15742,0.00037711,0.097881,0.15742,0.13864,0.096376,0.038378,0.07742,0.15742,0.32461,0.63712
0.101,0.15413,0.15413,0.15413,0.15413,0.15413,0.00033631,0.094566,0.15413,0.13659,0.095223,0.037562,0.075783,0.15413,0.31799,0.62468
0.102,0.15093,0.15093,0.15093,0.15093,0.15093,0.0002999,0.091368,0.15093,0.13458,0.094092,0.036766,0.074187,0.15093,0.31153,0.61253
0.103,0.1478,0.1478,0.1478,0.1478,0.1478,0.00026742,0.088284,0.1478,0.13262,0.092983,0.03599,0.07263,0.1478,0.30522,0.60065
0.104,0.14474,0.14474,0.14474,0.14474,0.14474,0.00023844,0.085309,0.14474,0.13069,0.091896,0.035233,0.071112,0.14474,0.29906,0.58904
0.105,0.14176,0.14176,0.14176,0.14176,0.14176,0.00021258,0.082438,0.14176,0.12881,0.090829,0.034495,0.069631,0.14176,0.29305,0.57769
0.106,0.13885,0.13885,0.13885,0.13885,0.13885,0.00018952,0.079669,0.13885,0.12696,0.089783,0.033775,0.068185,0.13885,0.28718,0.5666
0.107,0.13602,0.13602,0.13602,0.13602,0.13602,0.00016895,0.076996,0.13602,0.12515,0.088756,0.033073,0.066775,0.13602,0.28144,0.55576
0.108,0.13324,0.13324,0.13324,0.13324,0.13324,0.0001506,0.074417,0.13324,0.12337,0.087748,0.032387,0.065399,0.13324,0.27584,0.54515
0.109,0.13054,0.13054,0.13054,0.13054,0.13054,0.00013423,0.071928,0.13054,0.12163,0.086759,0.031718,0.064055,0.13054,0.27037,0.53478
0.11,0.12789,0.12789,0.12789,0.12789,0.12789,0.00011963,0.069525,0.12789,0.11992,0.085788,0.031065,0.062744,0.12789,0.26502,0.52463
0.111,0.12531,0.12531,0.12531,0.12531,0.12531,0.00010662,0.067205,0.12531,0.11825,0.084835,0.030427,0.061463,0.12531,0.25979,0.5147
0.112,0.12279,0.12279,0.12279,0.12279,0.12279,9.5008e-05,0.064966,0.12279,0.1166,0.083898,0.029805,0.060213,0.12279,0.25468,0.50499
0.113,0.12033,0.12033,0.12033,0.12033,0.12033,8.4657e-05,0.062804,0.12033,0.11499,0.082979,0.029197,0.058992,0.12033,0.24969,0.49549
0.114,0.11792,0.11792,0.11792,0.11792,0.11792,7.5429e-05,0.060717,0.11792,0.11341,0.082075,0.028603,0.057799,0.11792,0.24481,0.4862
0.115,0.11557,0.11557,0.11557,0.11557,0.11557,6.7201e-05,0.058701,0.11557,0.11186,0.081187,0.028024,0.056634,0.11557,0.24004,0.4771
0.116,0.11328,0.11328,0.11328,0.11328,0.11328,5.9866e-05,0.056755,0.11328,0.11033,0.080315,0.027457,0.055495,0.11328,0.23537,0.4682
0.117,0.11103,0.11103,0.11103,0.11103,0.11103,5.3328e-05,0.054875,0.11103,0.10884,0.079458,0.026904,0.054383,0.11103,0.23081,0.45948
0.118,0.10884,0.10884,0.10884,0.10884,0.10884,4.7499e-05,0.053059,0.10884,0.10737,0.078615,0.026363,0.053296,0.10884,0.22635,0.45095
0.119,0.10669,0.10669,0.10669,0.10669,0.10669,4.2304e-05,0.051305,0.10669,0.10593,0.077787,0.025835,0.052234,0.10669,0.22198,0.44259
0.12,0.10459,0.10459,0.10459,0.10459,0.10459,3.7675e-05,0.049611,0.10459,0.10451,0.076972,0.025319,0.051196,0.10459,0.21772,0.43441
0.121,0.10254,0.10254,0.10254,0.10254,0.10254,3.3549e-05,0.047975,0.10254,0.10312,0.076172,0.024814,0.050181,0.10254,0.21354,0.4264
