1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.04,45.157,0.0052996,1,0.68749,0.04,45.157,0.015894,1,0.66785,0.04,45.157,0.031773,1,0.63841,0.04,45.157,0.063488,1,0.5796,0.04,45.157,0.10568,1,0.50137
0.05,53.259,0.0040926,1,0.61196,0.05,53.259,0.012274,1,0.59903,0.05,53.259,0.024539,1,0.57965,0.05,53.259,0.049037,1,0.54094,0.05,53.259,0.081638,1,0.48942
0.06,60.334,0.0031812,1,0.53961,0.06,60.334,0.0095414,1,0.53108,0.06,60.334,0.019076,1,0.51829,0.06,60.334,0.038124,1,0.49275,0.06,60.334,0.063478,1,0.45874
0.07,66.486,0.0024821,1,0.47174,0.07,66.486,0.0074448,1,0.46612,0.07,66.486,0.014885,1,0.45769,0.07,66.486,0.029751,1,0.44084,0.07,66.486,0.049542,1,0.41842
0.08,71.811,0.0019404,1,0.40914,0.08,71.811,0.00582,1,0.40544,0.08,71.811,0.011637,1,0.3999,0.08,71.811,0.023261,1,0.38882,0.08,71.811,0.038739,1,0.37406
0.09,76.399,0.0015178,1,0.35218,0.09,76.399,0.0045526,1,0.34975,0.09,76.399,0.0091031,1,0.34612,0.09,76.399,0.018197,1,0.33887,0.09,76.399,0.030309,1,0.3292
0.1,80.332,0.0011868,1,0.30097,0.1,80.332,0.00356,1,0.29939,0.1,80.332,0.0071186,1,0.29703,0.1,80.332,0.014231,1,0.2923,0.1,80.332,0.023705,1,0.286
0.12,86.532,0.00072306,1,0.21535,0.12,86.532,0.002169,1,0.21469,0.12,86.532,0.0043372,1,0.2137,0.12,86.532,0.0086718,1,0.21173,0.12,86.532,0.014447,1,0.2091
0.14,90.95,0.00043701,1,0.15013,0.14,90.95,0.0013109,1,0.14987,0.14,90.95,0.0026216,1,0.14946,0.14,90.95,0.005242,1,0.14866,0.14,90.95,0.0087341,1,0.14759
0.16,94.034,0.00026137,1,0.10211,0.16,94.034,0.00078405,1,0.10201,0.16,94.034,0.001568,1,0.10185,0.16,94.034,0.0031355,1,0.10153,0.16,94.034,0.0052247,1,0.10111
